index,node_name,lat,lon
0,CAVAN,49.2371334712712,-123.067538404849
1,FRFOS,43.4155397631551,4.85246650759241
2,USLAX,33.7476751649267,-118.236795347012
3,CNNGB,29.8964147722493,121.9800066967
4,FRMRS,43.3324810676698,5.34814069062602
5,MTMAR,35.8198219215572,14.5382621866936
6,PAONX,9.36182646369399,-79.9161375730049
7,USNYC,40.6702142914386,-74.1223001054012
8,WP1,32.90726224488304,127.935791015625
9,WP2,45.706179285330855,141.6796875
10,WP3,47.90161354142077,156.8408203125
11,WP4,29.649868677972304,130.6494140625
12,WP5,48.531157010976706,-124.892578125
13,WP6,48.23930899024907,-123.1951904296875
14,WP7,33.660353121928814,-120.531005859375
15,WP8,41.376808565702355,-126.12304687500001
16,WP9,21.289374355860424,-110.56640625
17,WP10,6.839169626342808,-80.68359375
18,canalWP1,8.887785276858546,-79.52865600585938
19,canalWP2,9.337962007022371,-79.92965698242188
20,WP11,18.47960905583197,-74.794921875
21,WP13,20.097206227083888,-73.7841796875
22,WP12,18.06231230454674,-64.6875
23,WP14,35.862343734896484,-9.140625
24,WP15,35.88905007936091,-3.955078125
25,WP16,37.33522435930639,0.1318359375
26,WP17,41.65649719441145,3.4716796874999996
27,WP18,38.54816542304656,5.756835937499999
28,WP20,37.19533058280065,11.8212890625
29,MarseilleFos,43.279204926082784,5.0262451171875
30,WP19,43.08493742707592,9.4482421875
31,suezWP1,31.62532121329918,32.3602294921875
32,suezWP2,29.82158272057499,32.508544921875
33,WP21,12.683214911818666,43.33007812499999
34,WP22,12.897489183755892,51.064453125
35,WP23,6.315298538330033,75.5859375
36,WP24,6.970049417296232,97.5146484375
37,WP26,0.5273363048115169,103.974609375
38,WP29,24.367113562651262,119.53125
39,WP30,23.483400654325642,122.78320312499999
40,WP25,-6.140554782450295,105.1171875
41,WP27,-3.688855143147035,108.984375
42,WP28,2.7235830833483856,108.19335937499999
